:nemesis	:info	:start-partition	:majorities-ring
1	:ok	:generate	2
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	7
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	7
1	:invoke	:generate	nil
1	:ok	:generate	4
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	3
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	7
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	9
1	:ok	:generate	0
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	8
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	9
1	:invoke	:generate	nil
1	:ok	:generate	7
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	4
0	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	8
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	9
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	5
1	:ok	:generate	4
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	7
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	4
0	:ok	:generate	4
2	:invoke	:generate	nil
1	:ok	:generate	0
2	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
1	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	2
2	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	9
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	6
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
2	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
1	:ok	:generate	8
2	:invoke	:generate	nil
2	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	0
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	1
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	5
1	:invoke	:generate	nil
0	:ok	:generate	3
1	:ok	:generate	3
1	:invoke	:generate	nil
1	:ok	:generate	0
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	8
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	9
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	3
1	:invoke	:generate	nil
1	:ok	:generate	4
2	:invoke	:generate	nil
2	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	2
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	7
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	8
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
0	:invoke	:generate	nil
0	:ok	:generate	9
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	3
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	0
2	:ok	:generate	5
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	8
1	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	8
2	:invoke	:generate	nil
2	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	7
1	:ok	:generate	8
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	7
2	:invoke	:generate	nil
1	:ok	:generate	0
2	:ok	:generate	1
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	2
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	8
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	5
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
2	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	8
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	7
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	3
1	:invoke	:generate	nil
1	:ok	:generate	7
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	4
2	:invoke	:generate	nil
2	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	9
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
2	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	0
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	9
1	:invoke	:generate	nil
1	:ok	:generate	7
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	8
2	:invoke	:generate	nil
2	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	3
1	:invoke	:generate	nil
1	:ok	:generate	0
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
2	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	4
2	:invoke	:generate	nil
2	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	9
1	:invoke	:generate	nil
1	:ok	:generate	4
2	:invoke	:generate	nil
2	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	7
1	:invoke	:generate	nil
1	:ok	:generate	8
2	:invoke	:generate	nil
2	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	4
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	6
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	3
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	0
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	8
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	2
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	2
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	8
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	2
2	:ok	:generate	1
0	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	9
1	:invoke	:generate	nil
1	:ok	:generate	8
2	:invoke	:generate	nil
2	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	8
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
2	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
2	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	3
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
2	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	7
1	:invoke	:generate	nil
1	:ok	:generate	4
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
2	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	8
1	:invoke	:generate	nil
1	:ok	:generate	1
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	0
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	8
1	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	8
2	:invoke	:generate	nil
2	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	4
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
1	:ok	:generate	7
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	4
0	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	3
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	5
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	6
0	:invoke	:generate	nil
0	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
1	:ok	:generate	3
2	:invoke	:generate	nil
2	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
0	:ok	:generate	2
1	:invoke	:generate	nil
1	:ok	:generate	0
2	:invoke	:generate	nil
2	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	4
0	:invoke	:generate	nil
0	:ok	:generate	6
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
2	:ok	:generate	8
0	:invoke	:generate	nil
0	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	8
1	:invoke	:generate	nil
1	:ok	:generate	5
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	9
1	:ok	:generate	4
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	1
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	0
1	:ok	:generate	0
2	:invoke	:generate	nil
2	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	9
0	:invoke	:generate	nil
0	:ok	:generate	7
1	:invoke	:generate	nil
1	:ok	:generate	2
2	:invoke	:generate	nil
2	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	5
0	:invoke	:generate	nil
0	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	9
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	0
0	:ok	:generate	8
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	5
1	:ok	:generate	0
2	:invoke	:generate	nil
2	:ok	:generate	2
0	:invoke	:generate	nil
0	:ok	:generate	7
0	:invoke	:generate	nil
0	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	6
2	:invoke	:generate	nil
2	:ok	:generate	0
0	:invoke	:generate	nil
0	:ok	:generate	3
0	:invoke	:generate	nil
0	:ok	:generate	1
1	:invoke	:generate	nil
1	:ok	:generate	8
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	2
1	:invoke	:generate	nil
